"","id","Year","Lg","Tm","W","L","T","Div. Finish","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","Pts...17","Yds...18","Pts...19","Yds...20","T/G","Pts±","Yds±","out of","MoV","SoS","SRS","OSRS","DSRS"
"1122","22",1992,"NFL","Pittsburgh Steelers*",11,5,0,"1st of 4","Lost Div",299,225,74,"Cowher","Woodson","O'Donnell","Foster","Graham",15,9,2,13,2,9,11,28,4.6,-1,3.6,-0.4,4
"1123","22",1991,"NFL","Pittsburgh Steelers",7,9,0,"2nd of 4",NA,292,344,-52,"Noll","Lloyd","O'Donnell","Hoge","Lipps",17,20,22,22,11,21,22,28,-3.3,0.3,-2.9,-0.8,-2.2
"1124","22",1990,"NFL","Pittsburgh Steelers",9,7,0,"3rd of 4",NA,292,240,52,"Noll","Woodson","Brister","Hoge","Lipps",20,22,3,1,5,11,10,28,3.3,-1.6,1.6,-3.4,5
"1125","22",1989,"NFL","Pittsburgh Steelers*",9,7,0,"3rd of 4","Lost Div",265,326,-61,"Noll","Woodson","Brister","Worley","Lipps",24,28,15,19,3,21,28,28,-3.8,0.1,-3.7,-4.3,0.6
"1126","22",1988,"NFL","Pittsburgh Steelers",5,11,0,"4th of 4",NA,336,421,-85,"Noll","Ilkin","Brister","Hoge","Lipps",13,15,28,28,22,24,24,28,-5.3,0,-5.3,0.1,-5.5
"1127","22",1987,"NFL","Pittsburgh Steelers",8,7,0,"3rd of 4",NA,285,299,-14,"Noll","Merriweather","Malone","Jackson","Stallworth",20,25,10,13,4,16,24,28,-0.9,1.6,0.7,-2.2,2.9
"1128","22",1986,"NFL","Pittsburgh Steelers",6,10,0,"3rd of 4",NA,307,336,-29,"Noll","Merriweather","Malone","Jackson","Lipps",18,20,17,18,16,19,21,28,-1.8,0.9,-1,-1.3,0.3
"1129","22",1985,"NFL","Pittsburgh Steelers",7,9,0,"3rd of 4",NA,379,355,24,"Noll","Lipps","Malone","Pollard","Lipps",9,13,15,6,16,12,8,28,1.5,-2,-0.5,0.6,-1.1
"1130","22",1984,"NFL","Pittsburgh Steelers*",9,7,0,"1st of 4","Lost Conf",387,310,77,"Noll","Stallworth","Malone","Pollard","Stallworth",8,8,11,5,11,9,6,28,4.8,-1.6,3.3,2.4,0.9
"1131","22",1983,"NFL","Pittsburgh Steelers*",10,6,0,"1st of 4","Lost Div",355,303,52,"Noll","Lambert","Stoudt","Harris","Sweeney",14,22,7,3,12,7,9,28,3.3,-3.3,-0.1,-1.2,1.1
"1132","22",1982,"NFL","Pittsburgh Steelers*",6,3,0,"2nd of 4","Lost WC",204,146,58,"Noll","Shell","Bradshaw","Harris","Stallworth",8,8,4,17,14,7,12,28,6.4,-1.3,5.2,3.4,1.8
"1133","22",1981,"NFL","Pittsburgh Steelers",8,8,0,"2nd of 4",NA,356,297,59,"Noll","Blount","Bradshaw","Harris","Stallworth",8,11,11,22,9,10,15,28,3.7,-1,2.7,1.2,1.5
"1134","22",1980,"NFL","Pittsburgh Steelers",9,7,0,"3rd of 4",NA,352,313,39,"Noll","Webster","Bradshaw","Harris","Bell",10,6,15,12,14,13,8,28,2.4,-0.2,2.3,2.4,-0.1
"1135","22",1979,"NFL","Pittsburgh Steelers*",12,4,0,"1st of 4","Won SB",416,262,154,"Noll","Webster","Bradshaw","Harris","Stallworth",1,1,5,2,24,2,1,28,9.6,2.3,11.9,6.8,5.1
"1136","22",1978,"NFL","Pittsburgh Steelers*",14,2,0,"1st of 4","Won SB",356,195,161,"Noll","Bradshaw","Bradshaw","Harris","Swann",5,8,1,3,5,2,5,28,10.1,-1.9,8.2,2.6,5.6
"1137","22",1977,"NFL","Pittsburgh Steelers*",9,5,0,"1st of 4","Lost Div",283,243,40,"Noll","Bradshaw","Bradshaw","Harris","Swann",7,4,17,7,17,10,3,28,2.9,3.4,6.2,3.9,2.3
"1138","22",1976,"NFL","Pittsburgh Steelers*",10,4,0,"1st of 4","Lost Conf",342,138,204,"Noll","Lambert","Bradshaw","Harris","Swann",5,9,1,1,2,1,1,28,14.6,0.8,15.3,5.7,9.6
"1139","22",1975,"NFL","Pittsburgh Steelers*",12,2,0,"1st of 4","Won SB",373,162,211,"Noll","Harris","Bradshaw","Harris","Swann",5,7,2,4,11,1,5,26,15.1,-0.9,14.2,5.4,8.8
"1140","22",1974,"NFL","Pittsburgh Steelers*",10,3,1,"1st of 4","Won SB",305,189,116,"Noll","Greene","Gilliam","Harris","Lewis",6,8,2,1,5,3,2,26,8.3,-1.5,6.8,2.3,4.5
"1141","22",1973,"NFL","Pittsburgh Steelers*",10,4,0,"2nd of 4","Lost Div",347,210,137,"Noll","Greene","Bradshaw","Harris","Shanklin",4,11,8,4,2,4,6,26,9.8,-1.6,8.2,4.5,3.8
"1142","22",1972,"NFL","Pittsburgh Steelers*",11,3,0,"1st of 4","Lost Conf",343,175,168,"Noll","Greene","Bradshaw","Harris","Shanklin",5,13,2,8,1,2,8,26,12,-2,10,3.4,6.6
"1143","22",1971,"NFL","Pittsburgh Steelers",6,8,0,"2nd of 4",NA,246,292,-46,"Noll","Russell","Bradshaw","Fuqua","Smith",17,17,17,18,19,16,20,26,-3.3,-0.3,-3.6,-1.8,-1.8
"1144","22",1970,"NFL","Pittsburgh Steelers",5,9,0,"3rd of 4",NA,210,272,-62,"Noll","Russell","Bradshaw","Fuqua","Shanklin",21,20,16,14,22,20,19,26,-4.4,-3,-7.4,-5.9,-1.5
"1145","23",2021,"NFL","San Francisco 49ers*",10,7,0,"3rd of 4","Lost Conf",427,365,62,"Shanahan","Williams","Garoppolo","Mitchell","Samuel",13,7,9,3,22,12,3,32,3.6,0.1,3.8,1.8,1.9
"1146","23",2020,"NFL","San Francisco 49ers",6,10,0,"4th of 4",NA,376,390,-14,"Shanahan","Warner","Mullens","Wilson","Aiyuk",21,15,17,5,30,17,5,32,-0.9,1.7,0.8,0.2,0.7
"1147","23",2019,"NFL","San Francisco 49ers*",13,3,0,"1st of 4","Lost SB",479,310,169,"Shanahan","Buckner","Garoppolo","Mostert","Kittle",2,4,8,2,10,3,3,32,10.6,0.4,11,6.7,4.3
"1148","23",2018,"NFL","San Francisco 49ers",4,12,0,"3rd of 4",NA,342,435,-93,"Shanahan","Kittle","Mullens","Breida","Kittle",21,16,28,13,32,27,16,32,-5.8,0.3,-5.5,-2.5,-3.1
"1149","23",2017,"NFL","San Francisco 49ers",6,10,0,"4th of 4",NA,331,383,-52,"Shanahan","Staley","Garoppolo","Hyde","Goodwin",20,12,25,24,20,19,16,32,-3.3,0.4,-2.9,-0.8,-2.1
"1150","23",2016,"NFL","San Francisco 49ers",2,14,0,"4th of 4",NA,309,480,-171,"Kelly","Kaepernick","Kaepernick","Hyde","Kerley",27,31,32,32,24,31,32,32,-10.7,-0.5,-11.2,-3.7,-7.5
"1151","23",2015,"NFL","San Francisco 49ers",5,11,0,"4th of 4",NA,238,387,-149,"Tomsula","Bowman","Gabbert","Hyde","Boldin",32,31,18,29,22,31,32,32,-9.3,3.8,-5.5,-6,0.5
"1152","23",2014,"NFL","San Francisco 49ers",8,8,0,"3rd of 4",NA,306,340,-34,"Harbaugh","Kaepernick","Kaepernick","Gore","Boldin",25,20,10,5,6,22,15,32,-2.1,1.2,-1,-3,2.1
