Team,WinPct,eFG%,TOV%,ORB%,FT/FGA,Season
Philadelphia 76ers,0.4634146341463415,0.487,13.3,25.6,0.27,2006
Utah Jazz,0.5,0.467,15,32.4,0.286,2006
New Orleans/Oklahoma City Hornets,0.4634146341463415,0.464,12.9,26.9,0.257,2006
Toronto Raptors,0.32926829268292684,0.5,12.4,25.4,0.249,2006
Seattle SuperSonics,0.4268292682926829,0.504,13.7,30.4,0.246,2006
Charlotte Bobcats,0.3170731707317073,0.464,13,27.1,0.233,2006
Atlanta Hawks,0.3170731707317073,0.486,14.7,31.4,0.255,2006
New York Knicks,0.2804878048780488,0.481,16.5,31.2,0.303,2006
Portland Trail Blazers,0.25609756097560976,0.474,14.5,26.6,0.214,2006
San Antonio Spurs,0.7073170731707317,0.521,13.6,24.2,0.235,2007
Dallas Mavericks,0.8170731707317073,0.509,13.4,28.7,0.256,2007
Phoenix Suns,0.7439024390243902,0.551,13.4,22.7,0.215,2007
Chicago Bulls,0.5975609756097561,0.493,14.7,28.6,0.229,2007
Houston Rockets,0.6341463414634146,0.499,13.6,25.7,0.22,2007
Detroit Pistons,0.6463414634146342,0.488,12,28.3,0.237,2007
Cleveland Cavaliers,0.6097560975609756,0.484,13.4,29.7,0.223,2007
Utah Jazz,0.6219512195121951,0.502,14.5,31.7,0.283,2007
Denver Nuggets,0.5487804878048781,0.501,14.6,28.9,0.268,2007
Toronto Raptors,0.573170731707317,0.504,13,22.2,0.239,2007
Orlando Magic,0.4878048780487805,0.5,16.3,29.3,0.276,2007
Los Angeles Lakers,0.5121951219512195,0.511,14.3,26.1,0.249,2007
Golden State Warriors,0.5121951219512195,0.512,14.1,25.6,0.215,2007
Washington Wizards,0.5,0.491,12.6,28.1,0.272,2007
Los Angeles Clippers,0.4878048780487805,0.481,14.5,27.2,0.28,2007
New Jersey Nets,0.5,0.504,14.2,24.6,0.245,2007
Miami Heat,0.5365853658536586,0.506,14.3,24.9,0.222,2007
New Orleans/Oklahoma City Hornets,0.47560975609756095,0.479,13.6,29.1,0.215,2007
Sacramento Kings,0.4024390243902439,0.491,13.5,23.1,0.289,2007
Indiana Pacers,0.4268292682926829,0.474,15.1,28.4,0.246,2007
Seattle SuperSonics,0.3780487804878049,0.499,14.5,27.8,0.228,2007
New York Knicks,0.4024390243902439,0.494,15.9,31,0.27,2007
Philadelphia 76ers,0.4268292682926829,0.48,14.6,27.2,0.255,2007
Boston Celtics,0.2926829268292683,0.479,15.4,27,0.259,2007
Minnesota Timberwolves,0.3902439024390244,0.49,14.8,25.1,0.231,2007
Charlotte Bobcats,0.4024390243902439,0.48,13.9,26.4,0.236,2007
Milwaukee Bucks,0.34146341463414637,0.504,14.1,27.6,0.209,2007
Portland Trail Blazers,0.3902439024390244,0.483,14.5,28.2,0.241,2007
Atlanta Hawks,0.36585365853658536,0.471,15.1,29.2,0.263,2007
Memphis Grizzlies,0.2682926829268293,0.504,15.2,25.9,0.285,2007
Boston Celtics,0.8048780487804879,0.522,14.7,26.6,0.267,2008
Detroit Pistons,0.7195121951219512,0.495,11.4,29.4,0.23,2008
Los Angeles Lakers,0.6951219512195121,0.525,12.9,26.3,0.256,2008
Utah Jazz,0.6585365853658537,0.528,13.6,29.5,0.265,2008
Orlando Magic,0.6341463414634146,0.537,13.6,23.4,0.256,2008
New Orleans Hornets,0.6829268292682927,0.512,11.4,27,0.193,2008
San Antonio Spurs,0.6829268292682927,0.504,12.6,23.4,0.21,2008
Houston Rockets,0.6707317073170732,0.492,13,29.1,0.2,2008
Phoenix Suns,0.6707317073170732,0.551,13.4,22.4,0.228,2008
Dallas Mavericks,0.6219512195121951,0.502,12.3,26.7,0.259,2008
Denver Nuggets,0.6097560975609756,0.51,12.9,25.5,0.269,2008
Toronto Raptors,0.5,0.511,11.4,23.4,0.2,2008
Golden State Warriors,0.5853658536585366,0.511,11.5,27.2,0.208,2008
Philadelphia 76ers,0.4878048780487805,0.482,13.4,31.8,0.227,2008
Washington Wizards,0.524390243902439,0.489,12.5,28.9,0.233,2008
Cleveland Cavaliers,0.5487804878048781,0.48,13.1,30.4,0.221,2008
Portland Trail Blazers,0.5,0.489,12.6,26.8,0.216,2008
Indiana Pacers,0.43902439024390244,0.498,13.5,24.4,0.224,2008
Atlanta Hawks,0.45121951219512196,0.483,14,29.7,0.263,2008
Sacramento Kings,0.4634146341463415,0.503,14.8,25.2,0.276,2008
Chicago Bulls,0.4024390243902439,0.47,13.4,28.9,0.223,2008
Charlotte Bobcats,0.3902439024390244,0.492,13.9,25.6,0.23,2008
New Jersey Nets,0.4146341463414634,0.481,14.2,26.6,0.255,2008
Memphis Grizzlies,0.2682926829268293,0.5,14,23.8,0.225,2008
New York Knicks,0.2804878048780488,0.475,13.4,28.6,0.226,2008
Minnesota Timberwolves,0.2682926829268293,0.484,13.6,27.5,0.183,2008
Milwaukee Bucks,0.3170731707317073,0.482,13.7,30,0.215,2008
Los Angeles Clippers,0.2804878048780488,0.465,13.7,23.1,0.264,2008
Seattle SuperSonics,0.24390243902439024,0.467,14.3,26.8,0.204,2008
Miami Heat,0.18292682926829268,0.482,14.4,22.1,0.218,2008
Cleveland Cavaliers,0.8048780487804879,0.519,12.5,27.7,0.236,2009
Boston Celtics,0.7560975609756098,0.528,15,27.9,0.251,2009
Los Angeles Lakers,0.7926829268292683,0.513,12.3,29.4,0.23,2009
Orlando Magic,0.7195121951219512,0.52,13.4,24,0.251,2009
Portland Trail Blazers,0.6585365853658537,0.511,12.5,32.6,0.234,2009
Houston Rockets,0.6463414634146342,0.501,13.6,26.4,0.235,2009
San Antonio Spurs,0.6585365853658537,0.513,11.7,22.1,0.191,2009
Denver Nuggets,0.6585365853658537,0.512,14.2,27.5,0.29,2009
Utah Jazz,0.5853658536585366,0.504,13.6,28.2,0.274,2009
Dallas Mavericks,0.6097560975609756,0.504,12.1,26.6,0.224,2009
Phoenix Suns,0.5609756097560976,0.545,14.4,27.7,0.25,2009
Atlanta Hawks,0.573170731707317,0.504,12.5,26,0.238,2009
New Orleans Hornets,0.5975609756097561,0.501,12.5,24.6,0.232,2009
Miami Heat,0.524390243902439,0.5,12.1,24.6,0.212,2009
Philadelphia 76ers,0.5,0.485,13.4,31.3,0.253,2009
Chicago Bulls,0.5,0.493,13.3,28,0.239,2009
Detroit Pistons,0.47560975609756095,0.483,11.7,27.9,0.212,2009
Indiana Pacers,0.43902439024390244,0.501,13.1,25.4,0.215,2009
Milwaukee Bucks,0.4146341463414634,0.483,13.1,27.8,0.239,2009
Charlotte Bobcats,0.4268292682926829,0.494,15.1,27.7,0.231,2009
New York Knicks,0.3902439024390244,0.503,12.9,24.4,0.21,2009
New Jersey Nets,0.4146341463414634,0.497,12.7,25.2,0.236,2009
Toronto Raptors,0.4024390243902439,0.494,12.8,24,0.23,2009
Golden State Warriors,0.35365853658536583,0.497,12.9,26.1,0.268,2009
Minnesota Timberwolves,0.2926829268292683,0.481,13.3,27.7,0.222,2009
Memphis Grizzlies,0.2926829268292683,0.486,14.8,25.8,0.249,2009
Oklahoma City Thunder,0.2804878048780488,0.471,14.8,28.6,0.242,2009
Washington Wizards,0.23170731707317074,0.48,13.2,27.7,0.224,2009
Sacramento Kings,0.2073170731707317,0.491,14.3,24.5,0.252,2009
Los Angeles Clippers,0.23170731707317074,0.481,14,25.1,0.202,2009
Orlando Magic,0.7195121951219512,0.536,13.6,24.6,0.246,2010
Cleveland Cavaliers,0.7439024390243902,0.532,13.4,25.1,0.246,2010
Utah Jazz,0.6463414634146342,0.524,14.2,26.8,0.252,2010
San Antonio Spurs,0.6097560975609756,0.515,12.9,26.8,0.219,2010
Atlanta Hawks,0.6463414634146342,0.506,11.4,28.2,0.213,2010
Phoenix Suns,0.6585365853658537,0.546,13.6,27.6,0.24,2010
Los Angeles Lakers,0.6951219512195121,0.496,12.4,27.6,0.221,2010
Denver Nuggets,0.6463414634146342,0.509,12.7,26.1,0.29,2010
Boston Celtics,0.6097560975609756,0.522,14.5,22.8,0.248,2010
Portland Trail Blazers,0.6097560975609756,0.499,12.1,28.2,0.249,2010
Oklahoma City Thunder,0.6097560975609756,0.494,13.9,28.6,0.268,2010
Dallas Mavericks,0.6707317073170732,0.506,12.3,24.3,0.226,2010
Miami Heat,0.573170731707317,0.496,12.8,26.1,0.223,2010
Milwaukee Bucks,0.5609756097560976,0.482,12.3,26.2,0.181,2010
Charlotte Bobcats,0.5365853658536586,0.49,15.1,26.5,0.26,2010
Houston Rockets,0.5121951219512195,0.494,13.2,26.9,0.225,2010
Memphis Grizzlies,0.4878048780487805,0.494,13.7,31.3,0.235,2010
Chicago Bulls,0.5,0.477,13.3,26.6,0.217,2010
Toronto Raptors,0.4878048780487805,0.521,12.7,24.7,0.244,2010
New Orleans Hornets,0.45121951219512196,0.506,12.7,24.8,0.189,2010
