yearID,lgID,teamID,G,W,L,R,RA,RD,Wpct
2013,NL,PIT,162,94,68,634,577,57,0.580246914
2013,NL,SDN,162,76,86,618,700,-82,0.469135802
2013,AL,SEA,162,71,91,624,754,-130,0.438271605
2013,NL,SFN,162,76,86,629,691,-62,0.469135802
2013,NL,SLN,162,97,65,783,596,187,0.598765432
2013,AL,TBA,163,92,71,700,646,54,0.564417178
2013,AL,TEX,163,91,72,730,636,94,0.558282209
2013,AL,TOR,162,74,88,712,756,-44,0.456790123
2013,NL,WAS,162,86,76,656,626,30,0.530864198
2014,NL,ARI,162,64,98,615,742,-127,0.395061728
2014,NL,ATL,162,79,83,573,597,-24,0.487654321
2014,AL,BAL,162,96,66,705,593,112,0.592592593
2014,AL,BOS,162,71,91,634,715,-81,0.438271605
2014,AL,CHA,162,73,89,660,758,-98,0.450617284
2014,NL,CHN,162,73,89,614,707,-93,0.450617284
2014,NL,CIN,162,76,86,595,612,-17,0.469135802
2014,AL,CLE,162,85,77,669,653,16,0.524691358
2014,NL,COL,162,66,96,755,818,-63,0.407407407
2014,AL,DET,162,90,72,757,705,52,0.555555556
2014,AL,HOU,162,70,92,629,723,-94,0.432098765
2014,AL,KCA,162,89,73,651,624,27,0.549382716
2014,AL,LAA,162,98,64,773,630,143,0.604938272
2014,NL,LAN,162,94,68,718,617,101,0.580246914
2014,NL,MIA,162,77,85,645,674,-29,0.475308642
2014,NL,MIL,162,82,80,650,657,-7,0.50617284
2014,AL,MIN,162,70,92,715,777,-62,0.432098765
2014,AL,NYA,162,84,78,633,664,-31,0.518518519
2014,NL,NYN,162,79,83,629,618,11,0.487654321
2014,AL,OAK,162,88,74,729,572,157,0.543209877
2014,NL,PHI,162,73,89,619,687,-68,0.450617284
2014,NL,PIT,162,88,74,682,631,51,0.543209877
2014,NL,SDN,162,77,85,535,577,-42,0.475308642
2014,AL,SEA,162,87,75,634,554,80,0.537037037
2014,NL,SFN,162,88,74,665,614,51,0.543209877
2014,NL,SLN,162,90,72,619,603,16,0.555555556
2014,AL,TBA,162,77,85,612,625,-13,0.475308642
2014,AL,TEX,162,67,95,637,773,-136,0.413580247
2014,AL,TOR,162,83,79,723,686,37,0.512345679
2014,NL,WAS,162,96,66,686,555,131,0.592592593
2015,NL,ARI,162,79,83,720,713,7,0.487654321
2015,NL,ATL,162,67,95,573,760,-187,0.413580247
2015,AL,BAL,162,81,81,713,693,20,0.5
2015,AL,BOS,162,78,84,748,753,-5,0.481481481
2015,AL,CHA,162,76,86,622,701,-79,0.469135802
2015,NL,CHN,162,97,65,689,608,81,0.598765432
2015,NL,CIN,162,64,98,640,754,-114,0.395061728
2015,AL,CLE,161,81,80,669,640,29,0.50310559
2015,NL,COL,162,68,94,737,844,-107,0.419753086
2015,AL,DET,161,74,87,689,803,-114,0.459627329
2015,AL,HOU,162,86,76,729,618,111,0.530864198
2015,AL,KCA,162,95,67,724,641,83,0.586419753
2015,AL,LAA,162,85,77,661,675,-14,0.524691358
2015,NL,LAN,162,92,70,667,595,72,0.567901235
2015,NL,MIA,162,71,91,613,678,-65,0.438271605
2015,NL,MIL,162,68,94,655,737,-82,0.419753086
2015,AL,MIN,162,83,79,696,700,-4,0.512345679
2015,AL,NYA,162,87,75,764,698,66,0.537037037
2015,NL,NYN,162,90,72,683,613,70,0.555555556
2015,AL,OAK,162,68,94,694,729,-35,0.419753086
2015,NL,PHI,162,63,99,626,809,-183,0.388888889
2015,NL,PIT,162,98,64,697,596,101,0.604938272
2015,NL,SDN,162,74,88,650,731,-81,0.456790123
2015,AL,SEA,162,76,86,656,726,-70,0.469135802
2015,NL,SFN,162,84,78,696,627,69,0.518518519
2015,NL,SLN,162,100,62,647,525,122,0.617283951
2015,AL,TBA,162,80,82,644,642,2,0.49382716
2015,AL,TEX,162,88,74,751,733,18,0.543209877
2015,AL,TOR,162,93,69,891,670,221,0.574074074
2015,NL,WAS,162,83,79,703,635,68,0.512345679
2016,NL,ARI,162,69,93,752,890,-138,0.425925926
2016,NL,ATL,161,68,93,649,779,-130,0.422360248
2016,AL,BAL,162,89,73,744,715,29,0.549382716
2016,AL,BOS,162,93,69,878,694,184,0.574074074
2016,AL,CHA,162,78,84,686,715,-29,0.481481481
2016,NL,CHN,162,103,58,808,556,252,0.639751553
2016,NL,CIN,162,68,94,716,854,-138,0.419753086
2016,AL,CLE,161,94,67,777,676,101,0.583850932
2016,NL,COL,162,75,87,845,860,-15,0.462962963
