year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Espino, Paolo,502179,Nationals,WSH,R,88.5,899,1873,11.561728395061728,0.4799786438868126,FF,4-Seamer,15.9,-18,2,11,2.8,-6.8,-3.9,-58,0.9166666666666666,0.09558823529411764
2022,Kelly, Merrill,518876,D-backs,AZ,R,92.6,895,3071,18.95679012345679,0.2914360143275806,FF,4-Seamer,16.6,-16.1,-0.5,-3,8.1,-8.1,0,0,0.4117647058823529,0.4485294117647059
2022,Bradish, Kyle,680694,Orioles,BAL,R,94.6,887,1993,12.302469135802468,0.44505770195684896,FF,4-Seamer,14.4,-13.6,-0.7,-5,1.3,-6.2,-7.5,-121,0.38235294117647056,0.00980392156862745
2022,Keller, Mitch,656605,Pirates,PIT,R,95.5,884,2661,16.425925925925927,0.33220593761743705,FF,4-Seamer,15.2,-13.9,-1.3,-9,7.3,-7.4,0,-1,0.2769607843137255,0.4485294117647059
2022,McClanahan, Shane,663556,Rays,TB,L,96.7,879,2463,15.203703703703704,0.3568818514007308,FF,4-Seamer,11.7,-12.6,0.9,7,10.8,-6.6,4.3,65,0.6838235294117647,0.9411764705882353
2022,Flexen, Chris,623167,Mariners,SEA,R,91.7,871,2204,13.604938271604938,0.3951905626134301,FF,4-Seamer,13.7,-14.6,0.9,6,2.3,-5.8,-3.5,-60,0.6838235294117647,0.14215686274509803
2022,Springs, Jeffrey,605488,Rays,TB,L,91.4,868,2149,13.265432098765432,0.40390879478827363,FF,4-Seamer,15.3,-16.1,0.8,5,11.4,-6.7,4.7,70,0.6593137254901961,0.9509803921568627
2022,Bundy, Dylan,605164,Twins,MIN,R,89,865,2180,13.45679012345679,0.3967889908256881,FF,4-Seamer,15.3,-17.6,2.2,13,4.5,-6,-1.4,-24,0.9338235294117647,0.2916666666666667
2022,Greinke, Zack,425844,Royals,KC,R,89.1,865,2272,14.024691358024691,0.3807218309859155,FF,4-Seamer,18.4,-17.4,-1,-6,2,-5.7,-3.8,-66,0.33578431372549017,0.11029411764705882
2022,Mikolas, Miles,571945,Cardinals,STL,R,93.5,860,3152,19.45679012345679,0.27284263959390864,FF,4-Seamer,16.3,-14,-2.4,-17,4.9,-5.9,-1,-17,0.13725490196078433,0.33578431372549017
2022,Hearn, Taylor,621368,Rangers,TEX,L,94.8,854,1787,11.030864197530864,0.4778959149412423,FF,4-Seamer,13.8,-13.8,0,0,7.7,-6.6,1.2,18,0.5049019607843137,0.6274509803921569
2022,Carrasco, Carlos,471911,Mets,NYM,R,93.2,847,2412,14.88888888888889,0.3511608623548922,FF,4-Seamer,17.5,-15.3,-2.1,-14,7.5,-7.4,0.1,2,0.17892156862745098,0.4681372549019608
2022,Márquez, Germán,608566,Rockies,COL,R,95.6,846,2839,17.52469135802469,0.2979922507925326,FF,4-Seamer,16.6,-14.1,-2.5,-17,8.9,-7.7,1.2,16,0.11764705882352941,0.6274509803921569
2022,Burke, Brock,656271,Rangers,TEX,L,95,838,1330,8.209876543209877,0.6300751879699248,FF,4-Seamer,14,-13.4,-0.6,-4,10.3,-6.4,3.9,60,0.4019607843137255,0.9117647058823529
2022,Thompson, Keegan,624522,Cubs,CHC,R,93.6,838,1878,11.592592592592593,0.44621938232161873,FF,4-Seamer,13.9,-15.1,1.2,8,4.4,-7.4,-3,-41,0.7696078431372549,0.16666666666666666
2022,Gomber, Austin,596295,Rockies,COL,L,91,838,2059,12.709876543209877,0.40699368625546384,FF,4-Seamer,15.6,-15.3,-0.3,-2,6.3,-5.4,0.9,16,0.4534313725490196,0.5833333333333334
2022,Castillo, Luis,622491,Mariners,SEA,R,97.1,824,2506,15.469135802469136,0.32881085395051873,FF,4-Seamer,15.4,-14.2,-1.2,-8,11.4,-9.6,1.8,19,0.30637254901960786,0.6887254901960784
2022,Senzatela, Antonio,622608,Rockies,COL,R,94.2,821,1521,9.38888888888889,0.539776462853386,FF,4-Seamer,19.6,-14.5,-5.1,-35,3.3,-7,-3.7,-53,0.014705882352941176,0.12009803921568628
2022,Heasley, Jonathan,669169,Royals,KC,R,93.4,819,1796,11.08641975308642,0.45601336302895323,FF,4-Seamer,12.5,-14.9,2.3,16,8.2,-6.8,1.4,20,0.9436274509803921,0.6544117647058824
2022,Alcantara, Sandy,645261,Marlins,MIA,R,98,817,3248,20.049382716049383,0.25153940886699505,FF,4-Seamer,14.9,-12.8,-2,-16,12,-8.2,3.8,47,0.19117647058823528,0.8995098039215687
2022,Keller, Brad,641745,Royals,KC,R,94.5,803,2275,14.04320987654321,0.35296703296703297,FF,4-Seamer,17.3,-14.2,-3.2,-22,2.4,-6.8,-9.3,-136,0.06372549019607843,0
2022,Rasmussen, Drew,656876,Rays,TB,R,95.5,795,2239,13.820987654320987,0.3550692273336311,FF,4-Seamer,13.5,-13.6,0.1,1,2.3,-6.9,-4.6,-66,0.5343137254901961,0.049019607843137254
2022,Gonsolin, Tony,664062,Dodgers,LAD,R,93.1,788,2015,12.438271604938272,0.3910669975186104,FF,4-Seamer,14.2,-14.8,0.6,4,8.5,-6.6,1.9,29,0.6176470588235294,0.6985294117647058
2022,Adon, Joan,672851,Nationals,WSH,R,95,787,1204,7.432098765432099,0.6536544850498339,FF,4-Seamer,15.4,-14.1,-1.3,-10,10.7,-7.1,3.5,50,0.2769607843137255,0.8578431372549019
2022,Severino, Luis,622663,Yankees,NYY,R,96.3,779,1639,10.117283950617283,0.47528981086028066,FF,4-Seamer,12.2,-13.4,1.2,9,7.6,-7.4,0.2,3,0.7696078431372549,0.48284313725490197
2022,Contreras, Roansy,672710,Pirates,PIT,R,95.6,771,1588,9.802469135802468,0.48551637279596976,FF,4-Seamer,12.3,-13.9,1.6,12,7.4,-7.5,-0.1,-2,0.8553921568627451,0.42892156862745096
2022,Heaney, Andrew,571760,Dodgers,LAD,L,93,769,1230,7.592592592592593,0.6252032520325204,FF,4-Seamer,17.5,-16.8,-0.7,-4,14.8,-9.4,5.4,58,0.38235294117647056,0.9828431372549019
2022,White, Mitch,669952,Blue Jays,TOR,R,93.7,768,1715,10.58641975308642,0.4478134110787172,FF,4-Seamer,15.2,-14.6,-0.6,-4,3.9,-6.7,-2.8,-42,0.4019607843137255,0.18137254901960784
2022,Gore, MacKenzie,669022,Padres,SD,L,94.7,763,1258,7.765432098765432,0.6065182829888712,FF,4-Seamer,13,-14.1,1.1,7,5.2,-7.1,-1.8,-26,0.7328431372549019,0.25735294117647056
2022,Berríos, José,621244,Blue Jays,TOR,R,94,758,2721,16.796296296296298,0.27857405365674387,FF,4-Seamer,16.6,-15.4,-1.3,-8,10.6,-8.3,2.3,28,0.2769607843137255,0.7279411764705882
2022,Poche, Colin,621363,Rays,TB,L,93.2,754,974,6.012345679012346,0.7741273100616016,FF,4-Seamer,10.7,-13.9,3.3,24,0.9,-5.8,-4.9,-85,0.9926470588235294,0.03676470588235294
2022,Darvish, Yu,506433,Padres,SD,R,95,749,2971,18.339506172839506,0.25210366879838436,FF,4-Seamer,13.5,-14.9,1.4,9,7.1,-8.3,-1.2,-14,0.8308823529411765,0.3137254901960784
