Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2019,Fiorentina,Serie A,opponent,27,27,49.3,38,418,3420,38,42,32,37,5,6,97,1,1.11,0.84,1.95,0.97,1.82,42.3,37.9,28.6,66.5,1.11,0.75,1.87,1,1.75,https://fbref.com/en/squads/421387cf/2018-2019/Fiorentina-Stats
2019,Freiburg,Bundesliga,team,28,25.8,44.2,34,374,3060,34,44,25,39,5,6,54,3,1.29,0.74,2.03,1.15,1.88,42.2,37.6,25.9,63.5,1.24,0.76,2,1.11,1.87,https://fbref.com/en/squads/a486e511/2018-2019/Freiburg-Stats
2019,Freiburg,Bundesliga,opponent,28,25.8,55.8,34,374,3060,34,61,46,54,7,7,56,3,1.79,1.35,3.15,1.59,2.94,55.4,50.2,37.6,87.8,1.63,1.11,2.74,1.48,2.58,https://fbref.com/en/squads/a486e511/2018-2019/Freiburg-Stats
2019,Frosinone,Serie A,team,33,26.4,41.1,38,418,3420,38,28,21,24,4,5,99,2,0.74,0.55,1.29,0.63,1.18,35.5,31.7,24.7,56.4,0.93,0.65,1.58,0.84,1.49,https://fbref.com/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
2019,Frosinone,Serie A,opponent,33,27.1,58.9,38,418,3420,38,68,50,63,5,5,78,4,1.79,1.32,3.11,1.66,2.97,60.8,57,43.5,100.5,1.6,1.14,2.74,1.5,2.64,https://fbref.com/en/squads/6a7ad59d/2018-2019/Frosinone-Stats
2019,Fulham,Premier League,team,28,26,48.6,38,418,3420,38,33,24,31,2,3,70,2,0.87,0.63,1.5,0.82,1.45,38.8,36.5,28.3,64.8,1.02,0.74,1.76,0.96,1.7,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2019,Fulham,Premier League,opponent,28,26.8,51.4,38,418,3420,38,79,59,74,5,7,43,0,2.08,1.55,3.63,1.95,3.5,66.5,61.2,45.2,106.4,1.75,1.19,2.94,1.61,2.8,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2019,Genoa,Serie A,team,31,26,43.1,38,418,3420,38,37,26,33,4,5,95,7,0.97,0.68,1.66,0.87,1.55,43.6,39.8,27.1,66.9,1.15,0.71,1.86,1.05,1.76,https://fbref.com/en/squads/658bf2de/2018-2019/Genoa-Stats
2019,Genoa,Serie A,opponent,31,26.9,56.9,38,418,3420,38,55,40,50,5,6,87,4,1.45,1.05,2.5,1.32,2.37,53.8,49.2,35.4,84.7,1.42,0.93,2.35,1.3,2.23,https://fbref.com/en/squads/658bf2de/2018-2019/Genoa-Stats
2019,Getafe,La Liga,team,26,27.5,40.8,38,418,3420,38,47,34,41,6,6,107,7,1.24,0.89,2.13,1.08,1.97,44.7,40.2,29,69.2,1.18,0.76,1.94,1.06,1.82,https://fbref.com/en/squads/7848bd64/2018-2019/Getafe-Stats
