"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"67","Vitek Vanecek","WSH","42","2317.3833333333","1118","1015","103","0.908","2.67","0.96","99.13","305","242","63","0.793","1.63","-7.09","67","129","35.30","20.21"
"88","Alex Lyon","CAR","2","122.81666666667","65","59","6","0.908","2.93","0.04","7.68","15","10","5","0.667","2.44","-2.25","3","10","29.37","13.83"
"114","Spencer Knight","FLA","32","1740.2333333333","876","795","81","0.908","2.79","0.46","77.62","249","200","49","0.803","1.69","-3.35","63","108","34.69","18.72"
"24","Robin Lehner","VGK","44","2546.65","1289","1169","120","0.907","2.83","-0.14","121.05","394","321","73","0.815","1.72","-0.77","80","176","34.49","19.67"
"69","Elvis Merzlikins","CBJ","59","3320.4","1922","1744","178","0.907","3.22","0.72","164.94","522","431","91","0.826","1.64","4.69","85","182","34.18","21.42"
"107","Lukas Dostal","ANA","4","201.45","108","98","10","0.907","2.98","0.04","8.84","26","21","5","0.808","1.49","-0.23","3","10","34.07","24.90"
"48","Matt Murray","OTT","20","1182.4","640","580","60","0.906","3.04","-0.49","61.39","166","136","30","0.819","1.52","0.43","33","82","33.83","19.57"
"76","Dan Vladar","CGY","23","1243.1333333333","609","552","57","0.906","2.75","-0.37","52.51","142","112","30","0.789","1.45","-3.97","52","62","36.82","21.30"
"79","Adin Hill","S.J","25","1375.95","648","587","61","0.906","2.66","-0.74","52.2","156","128","28","0.821","1.22","0.60","44","58","37.56","25.67"
"17","Jake Allen","MTL","35","1947.65","1123","1016","107","0.905","3.30","-2.57","102.84","324","263","61","0.812","1.88","-1.61","82","136","34.40","21.47"
"91","Carter Hart","PHI","45","2603.0666666667","1441","1304","137","0.905","3.16","-3.00","125.92","392","325","67","0.829","1.54","4.86","71","181","34.76","22.48"
"44","John Gibson","ANA","56","3235.5833333333","1789","1617","172","0.904","3.19","-5.64","163.53","490","406","84","0.829","1.56","5.82","77","190","33.73","21.47"
"4","Jaroslav Halak","VAN","17","799.28333333333","400","361","39","0.903","2.93","-1.80","37.46","122","99","23","0.811","1.73","-0.64","25","46","32.98","19.33"
"23","Mikko Koskinen","EDM","45","2628.6333333333","1397","1261","136","0.903","3.10","-6.10","126.95","378","305","73","0.807","1.67","-3.71","101","152","33.45","21.51"
"14","Jonathan Bernier","N.J","10","510.1","264","238","26","0.902","3.06","-1.45","22.81","63","48","15","0.762","1.76","-3.45","12","22","36.34","20.12"
"117","Pyotr Kochetkov","CAR","3","148.6","61","55","6","0.902","2.42","-0.33","4.85","19","16","3","0.842","1.21","0.48","4","4","35.75","28.67"
"42","Jordan Binnington","STL","37","2124.95","1135","1023","112","0.901","3.16","-6.46","102.6","313","260","53","0.831","1.50","4.38","70","137","33.75","22.49"
